Jean-Luc Fugit,M&M CONSEIL,4
VIN ET SOCIETE,Philippe Huppé,3
SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE,Aurore Bergé,3
Olivia Gregoire,M&M CONSEIL,3
Sylvie Charrière,ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT,2
Michèle de Vaucouleurs,M&M CONSEIL,2
Éric Bothorel,M&M CONSEIL,2
Jean-Baptiste Moreau,GROUP NAT INTERPRO SEMEN PLANT,2
Aurélien Taché,SECOURS CATHOLIQUE,2
ANTICOR,Laurianne Rossi,1
ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT,Benjamin Dirx,1
ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT,Sylvie Charrière,1
ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE,Ericka Bareigts,1
Amélie de Montchalin,AXA,1
Anne-Laurence Petel,UNION DEP PETITES MOYENNES ENTREPR BDR,1
Anthony Cellier,M&M CONSEIL,1
Anthony Cellier,UP,1
Bernard Brochand,REGARDS CITOYENS,1
Bertrand Pancher,ASSOCIATION NATIONALE LE REFUGE,1
Bertrand Pancher,LA POSTE,1
Bérangère Abba,UNION ROUTIERE DE FRANCE,1
CHAMBRE COMMERCE ET INDUSTRIE NORD ISERE,Marjolaine Meynier-Millefert,1
COMITE CATHOLIQUE FAIM DEVELOPPEMENT,Delphine Batho,1
Caroline Abadie,UP,1
Cathy Racon-Bouzon,PERNOD RICARD,1
Christine Hennion,UP,1
Christine Pires Beaune,AUBERT & DUVAL,1
Cédric Roussel,UP,1
Damien Adam,CONFEDERAT ARTISANAT PETITE ENT BATIMENT,1
Daniel Fasquelle,KOZ,1
Danièle Obono,ASSOCIATION NATIONALE LE REFUGE,1
Delphine Bagarry,ASS PROMO RECHERCHE INFORMATIQUE LIBRE,1
Delphine Batho,UNION ROUTIERE DE FRANCE,1
Delphine O,SECOURS CATHOLIQUE,1
Denis Masséglia,THALES,1
Didier Le Gac,BNP PARIBAS,1
Didier Le Gac,CREDIT MUTUEL ARKEA,1
Didier Paris,SAUR,1
Dino Cinieri,LIGUE NATIONALE CONTRE LE CANCER,1
Dominique David,ASSOCIATION NATIONALE LE REFUGE,1
Ericka Bareigts,KOZ,1
FONDATION DU PATRIMOINE,Philippe Huppé,1
FONDATION DU PATRIMOINE,Thomas Gassilloud,1
Florian Bachelier,M&M CONSEIL,1
Franck Marlin,AIDES,1
François-Michel Lambert,AFAIA,1
GADOL OPTIC 2000,Yves Jégo,1
GRAND PARIS AMENAGEMENT,Manuel Valls,1
GROUP NAT INTERPRO SEMEN PLANT,Jean-Baptiste Moreau,1
Grégory Besson-Moreau,UP,1
Guillaume Vuilletet,M&M CONSEIL,1
Huguette Tiegna,ASS UNION FRANCAISE DE L'ELECTRICITE,1
INTEREL,Sylvain Waserman,1
Isabelle Valentin,SYNTAGME,1
Jacques Maire,AXA,1
Jean-Baptiste Djebbari,UP,1
Jean-Charles Colas-Roy,M&M CONSEIL,1
Jean-François Cesarini,UP,1
Jean-Luc Fugit,ASS UNION FRANCAISE DE L'ELECTRICITE,1
Jean-Luc Lagleize,THALES,1
Jean-Luc Mélenchon,CARE FRANCE,1
Jean-Luc Mélenchon,UP,1
Jean-Michel Mis,M&M CONSEIL,1
Jean-René Cazeneuve,M&M CONSEIL,1
Julien Aubert,LA BANQUE POSTALE,1
Laure de La Raudière,M&M CONSEIL,1
Laure de La Raudière,UP,1
Laurence Maillart-Méhaignerie,M&M CONSEIL,1
Laurent Garcia,GRTGAZ,1
Laurent Pietraszewski,UNION DEP PETITES MOYENNES ENTREPR BDR,1
Laurianne Rossi,ANTICOR,1
Luc Carvounas,ASSOCIATION NATIONALE LE REFUGE,1
Luc Carvounas,UNION DES FAMILLES LAIQUES DE SEINE ET MARNE,1
Lénaïck Adam,REGARDS CITOYENS,1
M&M CONSEIL,Anne Genetet,1
M&M CONSEIL,Guillaume Kasbarian,1
M&M CONSEIL,Jean-Luc Fugit,1
M&M CONSEIL,Jean-Michel Mis,1
M&M CONSEIL,Monique Iborra,1
M&M CONSEIL,Olivia Gregoire,1
MOUVEMENT DES ENTREPRISES DE FRANCE,Maina Sage,1
MOUVEMENT DES ENTREPRISES DE FRANCE,Éric Bothorel,1
Manuel Valls,UP,1
Marie-Pierre Rixain,SYNTEC NUMERIQUE,1
Marine Le Pen,AIDES,1
Marine Le Pen,MOUVEMENT DES ENTREPRISES DE FRANCE,1
Martine Wonner,ANTICOR,1
Matthieu Orphelin,ASSOCIATION UNIS-CITE OCCITANIE,1
Matthieu Orphelin,FRANCE ENERGIE EOLIENNE,1
Maxime Minot,ASSOCIATION NATIONALE LE REFUGE,1
Meyer Habib,AIDES,1
Natalia Pouzyreff,THALES,1
OXFAM FRANCE AGIR ICI,Valérie Thomas,1
Pacôme Rupin,UP,1
Pascale Fontenel-Personne,FEDER DEP SYND EXPLOIT AGRICOLE,1
Patricia Gallerneau,ANTICOR,1
Patricia Mirallès,ASSOCIATION NATIONALE LE REFUGE,1
Patrick Mignola,SYNTAGME,1
Paul Christophe,ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT,1
Paula Forteza,KOZ,1
Philippe Bolo,ASS UNION FRANCAISE DE L'ELECTRICITE,1
Philippe Bolo,ASSOCIATION UNIS-CITE OCCITANIE,1
Philippe Gomès,AIDES,1
Philippe Huppé,INSTITUT NATIONAL DES METIERS D'ART,1
RUMEUR PUBLIQUE,Damien Pichereau,1
RUMEUR PUBLIQUE,François-Michel Lambert,1
Ramlati Ali,UP,1
Rodrigue Kokouendo,BNP PARIBAS,1
Rodrigue Kokouendo,CACEIS,1
SOCIETE NATIONALE DE RADIODIFFUSION RADIO FRANCE,Céline Calvez,1
SYNTEC NUMERIQUE,Didier Baichère,1
Sandrine Josso,REGARDS CITOYENS,1
Sarah El Haïry,REGARDS CITOYENS,1
Sarah El Haïry,UP,1
Sophie Beaudouin-Hubiere,LA POSTE,1
Stanislas Guerini,UP,1
Stella Dupont,ASSOCIATION UNIS-CITE OCCITANIE,1
Stéphane Le Foll,LA POSTE,1
Stéphanie Kerbarh,M&M CONSEIL,1
Thierry Solère,ALIAPUR,1
