Amélie de Montchalin,AXA
Anthony Cellier,UP
Bernard Brochand,REGARDS CITOYENS
Bertrand Pancher,LA POSTE
Caroline Abadie,UP
Cathy Racon-Bouzon,PERNOD RICARD
Christine Hennion,UP
Christine Pires Beaune,AUBERT & DUVAL
Cédric Roussel,UP
Delphine O,SECOURS CATHOLIQUE
Denis Masséglia,THALES
Didier Le Gac,BNP PARIBAS
Didier Paris,SAUR
Franck Marlin,AIDES
Grégory Besson-Moreau,UP
Jacques Maire,AXA
Jean-Baptiste Djebbari,UP
Jean-François Cesarini,UP
Jean-Luc Lagleize,THALES
Jean-Luc Mélenchon,CARE FRANCE
Jean-Luc Mélenchon,UP
Julien Aubert,LA BANQUE POSTALE
Laure de La Raudière,UP
Laurent Garcia,GRTGAZ
Laurianne Rossi,ANTICOR
Lénaïck Adam,REGARDS CITOYENS
Manuel Valls,UP
Marine Le Pen,AIDES
Marine Le Pen,MOUVEMENT DES ENTREPRISES DE FRANCE
Martine Wonner,ANTICOR
Meyer Habib,AIDES
Natalia Pouzyreff,THALES
Pacôme Rupin,UP
Patricia Gallerneau,ANTICOR
Philippe Gomès,AIDES
Ramlati Ali,UP
Rodrigue Kokouendo,BNP PARIBAS
Rodrigue Kokouendo,CACEIS
Sandrine Josso,REGARDS CITOYENS
Sarah El Haïry,REGARDS CITOYENS
Sarah El Haïry,UP
Sophie Beaudouin-Hubiere,LA POSTE
Stanislas Guerini,UP
Stéphane Le Foll,LA POSTE
Thierry Solère,ALIAPUR
Valérie Rabault,BNP PARIBAS
